Day,"Campaign ID","Campaign name","Ad set ID","Ad Set Name","Ad ID","Ad name",Objective,Region,"Delivery status","Delivery level","Attribution setting",Reach,Impressions,Frequency,"Amount spent (NZD)","Link clicks","CPM (cost per 1,000 impressions)","CPC (cost per link click)","CTR (all)","Video plays at 25%","Reporting starts","Reporting ends"
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Tasman District",active,ad,"7-day click or 1-day view",2,2,1,0.01,,5,,0,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Bay of Plenty Region",active,ad,"7-day click or 1-day view",36,38,1.05555556,0.19,1,5,0.19,2.63157895,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Auckland Region",active,ad,"7-day click or 1-day view",1035,1135,1.09661836,6.21,37,5.47136564,0.16783784,3.70044053,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Waikato,active,ad,"7-day click or 1-day view",108,123,1.13888889,0.59,6,4.79674797,0.09833333,8.94308943,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Wellington Region",active,ad,"7-day click or 1-day view",160,175,1.09375,0.93,8,5.31428571,0.11625,4.57142857,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Otago,active,ad,"7-day click or 1-day view",6,10,1.66666667,0.06,1,6,0.06,10,,2025-07-12,2025-07-12
2025-07-12,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Manawatu-Wanganui,active,ad,"7-day click or 1-day view",26,31,1.19230769,0.1,1,3.22580645,0.1,3.22580645,,2025-07-12,2025-07-12
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Taranaki,active,ad,"7-day click or 1-day view",11,12,1.09090909,0.05,2,4.16666667,0.025,16.66666667,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Marlborough Region",active,ad,"7-day click or 1-day view",2,2,1,0,,0,,0,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Southland,active,ad,"7-day click or 1-day view",6,6,1,0.02,,3.33333333,,16.66666667,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Otago,active,ad,"7-day click or 1-day view",11,12,1.09090909,0.08,,6.66666667,,0,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Hawke's Bay",active,ad,"7-day click or 1-day view",9,9,1,0.08,,8.88888889,,0,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Gisborne District",active,ad,"7-day click or 1-day view",4,6,1.5,0.05,,8.33333333,,0,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"West Coast",active,ad,"7-day click or 1-day view",4,4,1,0.02,,5,,0,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Nelson Province",active,ad,"7-day click or 1-day view",9,10,1.11111111,0.06,,6,,0,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Northland Region",active,ad,"7-day click or 1-day view",19,21,1.10526316,0.15,1,7.14285714,0.15,4.76190476,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Waikato,active,ad,"7-day click or 1-day view",97,110,1.13402062,0.61,6,5.54545455,0.10166667,5.45454545,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Bay of Plenty Region",active,ad,"7-day click or 1-day view",41,47,1.14634146,0.18,2,3.82978723,0.09,4.25531915,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Auckland Region",active,ad,"7-day click or 1-day view",1163,1263,1.08598452,6.88,48,5.44734759,0.14333333,4.35471101,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Manawatu-Wanganui,active,ad,"7-day click or 1-day view",52,60,1.15384615,0.23,3,3.83333333,0.07666667,6.66666667,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Tasman District",active,ad,"7-day click or 1-day view",2,3,1.5,0.02,1,6.66666667,0.02,33.33333333,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Wellington Region",active,ad,"7-day click or 1-day view",141,154,1.09219858,0.99,10,6.42857143,0.099,7.14285714,,2025-07-11,2025-07-11
2025-07-11,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Canterbury,active,ad,"7-day click or 1-day view",75,82,1.09333333,0.39,1,4.75609756,0.39,1.2195122,,2025-07-11,2025-07-11
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Auckland Region",active,ad,"7-day click or 1-day view",1050,1159,1.10380952,6.50004357,52,5.6083206,0.12500084,4.83175151,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Gisborne District",active,ad,"7-day click or 1-day view",3,3,1,0.01010893,,3.36964415,,0,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Taranaki,active,ad,"7-day click or 1-day view",11,13,1.18181818,0.06065359,,4.66566114,,0,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Marlborough Region",active,ad,"7-day click or 1-day view",1,1,1,0,,0,,0,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Southland,active,ad,"7-day click or 1-day view",8,9,1.125,0.0303268,,3.36964415,,0,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Hawke's Bay",active,ad,"7-day click or 1-day view",15,15,1,0.08087146,,5.39143065,,0,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Otago,active,ad,"7-day click or 1-day view",12,14,1.16666667,0.07076253,1,5.05446623,0.07076253,21.42857143,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,"Tasman District",active,ad,"7-day click or 1-day view",2,2,1,0.02021786,,10.10893246,,0,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Waikato,active,ad,"7-day click or 1-day view",108,116,1.07407407,0.57620915,4,4.96732026,0.14405229,3.44827586,,2025-07-10,2025-07-10
2025-07-10,120227934035310154,Always_On_Campaign_all_Placements,120227934035330154,Always_On_Ad_Set_all_placements,120227934035320154,Always_On_Expanded_ads,LINK_CLICKS,Manawatu-Wanganui,active,ad,"7-day click or 1-day view",41,45,1.09756098,0.25272331,3,5.61607359,0.0842411,11.11111111,,2025-07-10,2025-07-10
